frame_id,timestamp,has_detection,bbox_cx,bbox_cy,bbox_w,bbox_h,det_confidence,z_mono,z_stereo,disparity,stereo_conf,depth_method,obs_x,obs_y,obs_z
188,19572.525318,1,1034.06,733.04,40.38,40.98,0.9067,3.1596,3.8382,22.7337,0.4127,2,0.2929,0.8053,3.9073
189,19572.543937,1,1034.30,726.51,40.05,40.23,0.9161,3.1859,3.8298,22.7831,0.4882,2,0.2939,0.7693,3.9030
190,19572.558362,1,1033.48,719.79,39.09,38.86,0.9033,3.2639,3.9176,22.2727,0.5203,2,0.2962,0.7502,3.9934
191,19572.576802,1,1033.16,714.48,38.19,37.59,0.8941,3.3406,4.1519,21.0159,0.6725,2,0.3111,0.7619,4.2198
192,19572.593352,1,1032.75,709.71,37.31,38.59,0.9033,3.4188,4.1601,20.9742,0.6652,2,0.3099,0.7372,4.2365
193,19572.608436,1,1032.62,704.72,37.93,39.32,0.9060,3.3633,4.0167,21.7231,0.6344,2,0.2990,0.6849,4.0977
194,19572.625869,1,1032.77,699.85,38.61,40.58,0.9105,3.3043,3.9695,21.9816,0.5709,2,0.2963,0.6494,4.0479
195,19572.642668,1,1032.68,696.52,36.95,39.60,0.9161,3.4520,4.1413,21.0698,0.5102,2,0.3086,0.6583,4.2241
196,19572.659239,1,1032.82,693.46,37.33,39.32,0.9173,3.4174,4.1336,21.1087,0.4476,1,0.3156,0.6534,4.3089
197,19572.674760,1,1032.01,690.45,38.17,39.09,0.9143,3.3416,4.0162,21.7257,0.7280,1,0.3020,0.6176,4.1865
198,19572.692901,1,1032.23,688.73,38.27,38.78,0.9118,3.3331,3.9727,21.9638,0.5935,1,0.3000,0.6011,4.1411
